t,cmd_swing,cmd_boom,cmd_arm,cmd_bucket,fk_x,fk_y,fk_z
3.5600,0.233743,-0.586400,1.372411,-1.386012,4.5465,1.0825,0.8173
3.5800,0.233743,-0.586400,1.372411,-1.386012,4.5465,1.0825,0.8173
3.6010,0.233743,-0.597691,1.373948,-1.376257,4.5446,1.0820,0.7800
3.6200,0.233743,-0.608915,1.375312,-1.366396,4.5425,1.0815,0.7428
3.6400,0.233743,-0.620071,1.376503,-1.356432,4.5402,1.0810,0.7055
3.6600,0.233743,-0.631156,1.377522,-1.346366,4.5378,1.0804,0.6684
3.6800,0.233743,-0.642168,1.378369,-1.336201,4.5352,1.0798,0.6312
3.7000,0.233743,-0.653104,1.379044,-1.325939,4.5325,1.0792,0.5942
3.7200,0.233743,-0.663963,1.379547,-1.315584,4.5296,1.0785,0.5571
3.7400,0.233743,-0.674742,1.379879,-1.305137,4.5266,1.0778,0.5202
3.7600,0.233743,-0.685438,1.380039,-1.294600,4.5235,1.0770,0.4832
3.7800,0.233743,-0.685438,1.380039,-1.294600,4.5235,1.0770,0.4832
3.8000,0.227891,-0.681645,1.372407,-1.290762,4.5403,1.0530,0.4847
3.8200,0.222082,-0.677787,1.364645,-1.286858,4.5571,1.0290,0.4862
3.8400,0.216315,-0.673862,1.356750,-1.282888,4.5739,1.0051,0.4877
3.8600,0.210590,-0.669871,1.348722,-1.278851,4.5906,0.9813,0.4892
3.8800,0.204907,-0.665812,1.340559,-1.274747,4.6073,0.9575,0.4908
3.9000,0.199266,-0.661685,1.332259,-1.270574,4.6239,0.9338,0.4924
3.9200,0.193668,-0.657488,1.323820,-1.266332,4.6406,0.9101,0.4940
3.9400,0.188111,-0.653221,1.315240,-1.262020,4.6571,0.8865,0.4957
3.9600,0.182596,-0.648882,1.306518,-1.257636,4.6737,0.8630,0.4974
3.9800,0.177122,-0.644471,1.297652,-1.253180,4.6903,0.8395,0.4991
4.0000,0.171690,-0.639987,1.288639,-1.248651,4.7068,0.8161,0.5009
4.0200,0.166299,-0.635429,1.279477,-1.244048,4.7233,0.7928,0.5027
4.0400,0.160949,-0.630794,1.270163,-1.239369,4.7397,0.7695,0.5045
4.0600,0.155640,-0.626083,1.260697,-1.234614,4.7562,0.7463,0.5064
4.0800,0.150371,-0.621294,1.251074,-1.229780,4.7726,0.7231,0.5083
4.1000,0.145144,-0.616425,1.241292,-1.224867,4.7890,0.7000,0.5103
4.1200,0.139957,-0.611475,1.231348,-1.219873,4.8054,0.6770,0.5123
4.1400,0.134810,-0.606443,1.221240,-1.214797,4.8218,0.6540,0.5143
4.1600,0.129703,-0.601326,1.210963,-1.209637,4.8381,0.6311,0.5164
4.1800,0.129703,-0.601326,1.210963,-1.209637,4.8381,0.6311,0.5164
4.2000,0.122392,-0.596497,1.201263,-1.204767,4.8549,0.5972,0.5184
4.2200,0.115135,-0.591549,1.191329,-1.199779,4.8716,0.5634,0.5204
4.2400,0.107931,-0.586483,1.181155,-1.194672,4.8882,0.5297,0.5225
4.2600,0.100781,-0.581294,1.170737,-1.189442,4.9048,0.4960,0.5246
4.2800,0.093685,-0.575982,1.160070,-1.184088,4.9213,0.4624,0.5269
4.3000,0.086642,-0.570542,1.149149,-1.178607,4.9378,0.4289,0.5291
4.3200,0.079654,-0.564972,1.137968,-1.172996,4.9543,0.3955,0.5314
4.3400,0.072719,-0.559269,1.126521,-1.167252,4.9706,0.3621,0.5338
4.3600,0.065839,-0.553430,1.114801,-1.161371,4.9870,0.3288,0.5363
4.3800,0.059012,-0.547450,1.102801,-1.155350,5.0033,0.2956,0.5388
4.4000,0.052240,-0.541328,1.090514,-1.149186,5.0196,0.2625,0.5414
4.4200,0.045522,-0.535057,1.077931,-1.142874,5.0358,0.2294,0.5441
4.4420,0.038857,-0.528635,1.065045,-1.136410,5.0520,0.1964,0.5468
4.4610,0.032247,-0.522056,1.051845,-1.129789,5.0681,0.1635,0.5497
4.4800,0.025690,-0.515315,1.038322,-1.123007,5.0843,0.1306,0.5526
4.5000,0.019187,-0.508407,1.024465,-1.116058,5.1004,0.0979,0.5556
4.5200,0.012738,-0.501327,1.010262,-1.108935,5.1164,0.0652,0.5586
4.5400,0.006342,-0.494066,0.995699,-1.101633,5.1325,0.0326,0.5618
4.5600,0.000000,-0.486619,0.980764,-1.094145,5.1485,0.0000,0.5651
